depth_bin,n_points,depth_min,depth_max,depth_mean,score_mean,score_median,score_std
Q1,1219,1.5,8.0,7.331419196062346,0.1336095980311731,0.1167,0.05450554466080458
Q2,197,8.5,10.0,9.812182741116752,0.15166040609137055,0.1317,0.07145834633588116
Q3,678,10.5,48.0,19.952802359882007,0.21138185840707965,0.1777,0.11029928124390623
